id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
56403;dkny men summer 2014;Donna Karan;;men;4,22;9;2014;Bamboo, Lime and Coriander;Geranium and Lavender;Leather, Patchouli, Incense and Cashmere Wood;;;aromatic;woody;fresh spicy;lavender;citrus
56404;dkny men summer 2015;Donna Karan;;men;4,43;7;2015;Juniper Berries, Orange and Cardamom;Lavender, Clary Sage and Pomegranate;Incense, Tonka Bean, Musk and Patchouli;;;aromatic;woody;fresh spicy;warm spicy;amber
56405;dkny men summer 2016;Donna Karan;;men;3,8;20;2016;Bergamot, Pineapple, Watery Notes, Lemon and Solar Notes;Violet, Cedar and Vetiver;Patchouli, Musk and Amber;;;citrus;woody;powdery;aromatic;violet
56406;dkny men summer 2017;Donna Karan;;men;4,29;14;2017;Bergamot, Basil, Orange and Cardamom;Juniper Berries, Geranium and Cinnamon;Musk, Sandalwood, Cedar and Moss;;;fresh spicy;aromatic;woody;warm spicy;citrus
56407;dkny men summer 2018;Donna Karan;;men;3,5;8;2018;;;;;;green;musky;woody;powdery;vanilla
56408;dkny men summer 2019;Donna Karan;;men;3,77;13;2019;Bergamot, Grapefruit and Pink Pepper;Geranium;Haitian Vetiver, Musk, Amber, Patchouli, Cashmirwood and Labdanum;;;citrus;fresh spicy;aromatic;;
56409;dkny men summer 2020;Donna Karan;;men;3,2;5;2020;Pink Pepper, Mandarin Orange, Green Apple and Sicilian Lemon;Nutmeg and Virginia Cedar;Ambertonic, Musk, Amberwood and Vetiver;;;woody;amber;musky;citrus;sweet
56410;dkny summer;Donna Karan;;women;3,67;30;2007;Cassia, Blueberry, Mandarin Orange and Red Currant;Water Lily, Tomato Leaf, Corall Orchid, Yellow Narcissus and Red Thyme;Birch;;;fruity;aromatic;green;fresh;leather
56411;dkny women summer 2006;Donna Karan;;women;3,9;10;2006;;;;;;aromatic;fresh spicy;leather;smoky;citrus
56412;dkny women summer 2008;Donna Karan;;women;3,9;29;2008;;;;;;aromatic;fruity;woody;vodka;green
56413;dkny women summer 2009;Donna Karan;;women;3,85;34;2009;;;;;;citrus;tropical;fruity;fresh;floral
56414;dkny women summer 2010;Donna Karan;;women;3,43;23;2010;Mandarin Orange, Mango Blossom, Guava, Green Notes and Freesia;Frangipani, African Orange Flower, Jasmine and Lily-of-the-Valley;Sandalwood, Virginia Cedar and Woodsy Notes;;;floral;citrus;tropical;white floral;fruity
56415;dkny women summer 2011;Donna Karan;;women;3,48;62;2011;Grapefruit, Red Berries and Passionfruit;Litchi, Magnolia and Jasmine;Musk, Sandalwood and Teak Wood;;;fruity;citrus;fresh;tropical;sweet
56416;dkny women summer 2012;Donna Karan;;women;3,89;63;2012;Papaya, Clementine and Pomegranate;African Orange Flower, Magnolia and Lime (Linden) Blossom;Amber and Musk;;;citrus;sweet;tropical;floral;white floral
56417;dkny women summer 2014;Donna Karan;;women;3,53;15;2014;Grapefruit, Pear and Lantana;Water Lily, Magnolia and Lime (Linden) Blossom;White Musk, Sandalwood and Amber;;;floral;citrus;aquatic;sweet;musky
56418;dkny women summer 2015;Donna Karan;;women;3,72;18;2015;Grapefruit and Sweet Orange;Lily, Iris and Carnation;Fir Resin, Patchouli and Vanilla;;;citrus;woody;fresh spicy;aromatic;patchouli
56419;dkny women summer 2016;Donna Karan;;women;3,5;20;2016;Sorbet, Bellini, Lemon, Peach and Goji Berries;Water Lily, Violet and Rose;Cashmere Wood, Musk and White Amber;;;fruity;sweet;musky;citrus;powdery
56420;dkny women summer 2017;Donna Karan;;women;3,91;11;2017;Pomelo, Ginger and Bergamot;Litchi, White Tea and Jasmine;Orris Root, Musk and Sandalwood;;;citrus;iris;powdery;fresh;fruity
56421;dkny women summer 2018;Donna Karan;;women;3,67;6;2018;;;;;;;;;;
56422;dkny women summer 2019;Donna Karan;;women;3,58;26;2019;Rhubarb, Mandarin Orange, Black Currant and Bitter Orange;Jasmine Sambac, Freesia, Rose and Galbanum;Cedar, Amberwood and Musk;;;woody;fruity;citrus;green;aromatic
