id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
6816;clean-sweet-layer;clean;USA;women;3,82;28;2004;grapefruit, orange, orange blossom, lime;lily, rose, geranium;musk;unknown;unknown;citrus;white floral;fresh spicy;rose;aromatic
6817;gosha-rubchinskiy-gosa-rubcinskij;comme-des-garcons;France;unisex;3,82;247;2016;buchu or agathosma, angelica;chamomile, mandarin orange;styrax, haitian vetiver, patchouli;alexis dadier;unknown;amber;aromatic;herbal;woody;musky
6818;cool-water-caribbean-summer-edition;davidoff;Switzerland;men;3,82;77;2018;lemon, grapefruit, mandarin orange;sage, juniper, basil;mint, sandalwood;unknown;unknown;aromatic;citrus;fresh spicy;green;woody
6819;run-wild-for-her;davidoff;Switzerland;women;3,82;245;2019;pomegranate, pistachio;jasmine;lily;alienor massenet;emilie bevierre-coppermann;white floral;woody;unknown;unknown;unknown
6820;silver-shadow-private;davidoff;Switzerland;men;3,82;156;2008;bergamot, cardamom, lemon;lavender, violet;leather, musk, woody notes;unknown;unknown;citrus;aromatic;powdery;leather;woody
6821;i-love-dior;dior;France;women;3,82;464;2002;magnolia, freesia, mandarin orange, bitter orange, orange;lily-of-the-valley, pear, honeysuckle, rose, lily, raspberry, black currant;musk, cedar, amber;unknown;unknown;white floral;fruity;floral;citrus;fresh
6822;green-tea;elizabeth-arden;USA;women;3,82;12738;1999;lemon, bergamot, mint, orange peel, rhubarb;jasmine, oakmoss, musk, fennel, carnation, white amber;green tea, jasmine, oakmoss, musk, celery seeds, caraway, cloves, amber;francis kurkdjian;unknown;citrus;green;aromatic;fresh spicy;fresh
6823;born-in-paradise;escada;Germany;women;3,82;1629;2014;watermelon, guava, green apple;coconut milk, pineapple;musk, sandalwood, cedar;unknown;unknown;fruity;coconut;sweet;tropical;ozonic
6824;very-estee;estee-lauder;France;women;3,82;806;2012;freesia, lotus, cassis, pink pepper;bulgarian rose, rose petals, gardenia, jasmine;musk, cashmere wood, cedar, sandalwood;unknown;unknown;floral;woody;white floral;musky;rose
6825;beautiful-sheer;estee-lauder;France;women;3,82;565;2003;mimosa, lily, pear, magnolia;rose, lime (linden) blossom, green notes, jasmine, peach;boxwood, woody notes;unknown;unknown;floral;yellow floral;white floral;sweet;green
6826;modern-muse-le-rouge;estee-lauder;France;women;3,82;1420;2015;red currant, raspberry, pink pepper, saffron;bulgarian rose, may rose, jasmine, magnolia petals;madagascar vanilla, ambrette (musk mallow), patchouli, vetiver;unknown;unknown;fruity;rose;sweet;soft spicy;floral
6827;pleasures;estee-lauder;France;women;3,82;8898;1995;green notes, freesia, pink pepper, violet, violet leaf, tuberose, red berries;lily-of-the-valley, peony, lilac, lily, rose, jasmine, geranium, karo karounde;musk, cedar, sandalwood, patchouli;alberto morillas;annie buzantian;floral;white floral;fresh;green;rose
6828;cologne;etat-libre-d-orange;France;unisex;3,82;697;2014;bergamot, blood orange, green notes;orange blossom, jasmine;musk, leather;unknown;unknown;citrus;white floral;green;fresh spicy;musky
6829;cuir-celeste-par-mathieu-cesar;ex-nihilo;France;unisex;3,82;201;2018;violet leaf, galbanum, black pepper, sage;ambrette (musk mallow), tea, osmanthus, jasmine;leather, ambrette (musk mallow), white musk, akigalawood, cypriol oil or nagarmotha, patchouli;quentin bisch;unknown;musky;green;woody;floral;ozonic
6830;synthetic-jungle;frederic-malle;France;unisex;3,82;1382;2021;galbanum, basil, black currant;lily-of-the-valley, hyacinth, jasmine, ylang-ylang, almond;oakmoss, patchouli;anne flipo;unknown;green;white floral;fresh spicy;aromatic;floral
