id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
45961|bamboo body & soul spray|Nest|unknown|women|3,95|22|2013|unknown|unknown|unknown|unknown|unknown|green|floral|citrus|fresh|unknown
32762|rose royale|Lalique|unknown|unisex|4,05|254|2014|Apricot and Peach|Rose and Osmanthus|Osmanthus, Musk and Cashmere Wood|Sidonie Lancesseur|unknown|fruity|musky|floral|rose|powdery
65461|essences 09|Nuancielo|unknown|women|3,0|4|2017|Mandarin Orange, Bergamot and Pear|Jasmine|Vetiver, Vanilla and Amber|unknown|unknown|citrus|amber|white floral|vanilla|aromatic
80368|pampamia noble|La Martina|unknown|men|3,86|22|2013|Incense, Ylang-Ylang and Bergamot|Iris, Violet and Lotus|Amber, Cedar and Styrax|unknown|unknown|amber|woody|powdery|iris|violet
17293|brut-special-reserve|brut-parfums-prestige|France|men|4,12|326|0|anise, basil, lemon, bergamot|lavender, ylang-ylang, geranium, jasmine|oakmoss, tonka bean, sandalwood, patchouli, vanilla, vetiver|unknown|unknown|aromatic|fresh spicy|lavender|woody|citrus
56933|flirt jasmin|Ed Pinaud|unknown|women|4,0|1|2013|Mandarin Orange, Jasmine and Bergamot|White Flowers, Lily-of-the-Valley, Elemi resin and Tuberose|Musk, Sandalwood, Amber and Vanilla|unknown|unknown|white floral|citrus|woody|powdery|aromatic
70494|fir-ever young velvet & sweet pea’s purrfumery|Velvet Sweet Pea s Purrfumery|unknown|unisex|4,8|5|0|unknown|unknown|unknown|Laurie Stern|unknown|aromatic|fruity|fresh spicy|woody|fresh
25759|chrome azure|Azzaro|unknown|men|3,62|40|2024|Bergamot|Lavender|Sea Notes|unknown|unknown|aromatic|marine|citrus|lavender|fresh spicy
21810|la-panthere-etincelante|cartier|France|women|4,33|55|2017|dried fruits, strawberry, rhubarb, bergamot, anise|gardenia, rose, pear, orange blossom, ylang-ylang|musk, patchouli, oakmoss, leather|mathilde laurent|unknown|fruity|sweet|white floral|woody|musky
954|sensational-luxe-blossom|celine-dion|USA|women|3,46|37|2013|plum, freesia|rose, magnolia, jasmine|sandalwood, patchouli, musk, vetiver|unknown|unknown|floral|fruity|woody|rose|sweet
9996|like-a-girl-s-night-out|essence|Germany|women|3,91|53|2012|wolfberry, pitahaya, elemi resin, mandarin orange|peach, mandarin blossom, rose, magnolia|vanilla, vetiver, musk|unknown|unknown|fruity|citrus|aromatic|floral|tropical
22083|oud-malaki|chopard|Switzerland|men|4,35|1313|2012|grapefruit, lavender, artemisia|tobacco, spices, leather|agarwood (oud), dark woodsy notes, ambergris|dominique ropion|unknown|tobacco|oud|woody|warm spicy|animalic
53069|musgo real agua de colonia no.1 orange amber|Claus Porto|unknown|men|4,54|28|0|unknown|unknown|unknown|unknown|unknown|citrus|musky|warm spicy|powdery|amber
75350|metro black|Rue21|unknown|men|3,94|32|2010|unknown|unknown|unknown|unknown|unknown|coffee|warm spicy|woody|amber|smoky
48646|b.h.p.c. colors for women air-val international|Air Val International|unknown|women|4,0|1|0|Pineapple, Black Currant, Melon and Litchi|Jasmine, Rose, Magnolia, Heliotrope and Iris|Sandalwood, Vetiver and Patchouli|unknown|unknown|fruity|woody|floral|powdery|earthy
58430|paisley geo. f. trumper|Geo F Trumper|unknown|men|4,4|43|2018|Peppermint, Orange and Lemon|Star Anise, Cardamom, Geranium and Pepper|Vetiver and Patchouli|unknown|unknown|aromatic|warm spicy|fresh spicy|anis|green
51500|bastet|Black Phoenix Alchemy Lab|unknown|women|4,07|41|0|unknown|unknown|unknown|Brian Constantine|Elizabeth Barrial|amber|warm spicy|almond|sweet|floral
