estrutura;caso;algoritmo;tamanho;tempo_ms_medio
ListaDupla;caso_qualquer;selectionSort;1000;3,9064
ListaDupla;caso_qualquer;insertionSort;1000;2,7020
ListaDupla;caso_qualquer;mergeSort;1000;1,7858
ListaDupla;caso_qualquer;quickSort;1000;2,0803
ListaDupla;caso_qualquer;shellSort;1000;1,7976
ListaDupla;caso_qualquer;heapSort;1000;1,5743
ListaArranjo;caso_qualquer;bubbleSort;10000;234,9624
ListaArranjo;caso_qualquer;selectionSort;10000;99,0709
ListaArranjo;caso_qualquer;insertionSort;10000;61,5897
ListaArranjo;caso_qualquer;shellSort;10000;13,9569
ListaArranjo;caso_qualquer;mergeSort;10000;13,5603
ListaArranjo;caso_qualquer;quickSort;10000;12,8530
ListaArranjo;caso_qualquer;heapSort;10000;13,9399
ListaApontador;caso_qualquer;bubbleSort;10000;588,2316
ListaApontador;caso_qualquer;selectionSort;10000;656,8308
ListaApontador;caso_qualquer;insertionSort;10000;318,2884
ListaApontador;caso_qualquer;mergeSort;10000;15,0968
ListaApontador;caso_qualquer;shellSort;10000;15,1696
ListaApontador;caso_qualquer;heapSort;10000;14,9543
ListaApontador;caso_qualquer;quickSort;10000;14,0699
ListaDupla;caso_qualquer;bubbleSort;10000;605,7362
ListaDupla;caso_qualquer;selectionSort;10000;654,2922
ListaDupla;caso_qualquer;insertionSort;10000;251,9097
ListaDupla;caso_qualquer;mergeSort;10000;15,1118
ListaDupla;caso_qualquer;quickSort;10000;16,4731
ListaDupla;caso_qualquer;shellSort;10000;15,2565
ListaDupla;caso_qualquer;heapSort;10000;14,8222
ListaArranjo;caso_qualquer;insertionSort;50000;3342,1010
ListaArranjo;caso_qualquer;shellSort;50000;96,2278
ListaArranjo;caso_qualquer;mergeSort;50000;69,9446
ListaArranjo;caso_qualquer;quickSort;50000;68,6714
ListaArranjo;caso_qualquer;heapSort;50000;77,3518
ListaApontador;caso_qualquer;insertionSort;50000;41712,9333
ListaApontador;caso_qualquer;mergeSort;50000;100,3711
ListaApontador;caso_qualquer;shellSort;50000;103,9190
ListaApontador;caso_qualquer;heapSort;50000;83,3072
ListaApontador;caso_qualquer;quickSort;50000;79,9757
ListaDupla;caso_qualquer;insertionSort;50000;31019,4861
ListaDupla;caso_qualquer;mergeSort;50000;93,7087
ListaDupla;caso_qualquer;quickSort;50000;261,3656
ListaDupla;caso_qualquer;shellSort;50000;103,1580
ListaDupla;caso_qualquer;heapSort;50000;83,6836
ListaArranjo;caso_qualquer;insertionSort;91134;16154,1214
ListaArranjo;caso_qualquer;shellSort;91134;192,0888
